City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
276,Totness,5.8833,-56.3167,80.55,83,24,12.28,SR,2022-05-12 14:45:16
277,Karpogory,64.0019,44.4451,61.18,52,91,3.4,RU,2022-05-12 14:46:16
278,Arlit,18.7369,7.3853,106.3,5,0,9.82,NE,2022-05-12 14:46:17
279,Chingirlau,51.095,54.0814,49.78,73,64,16.69,KZ,2022-05-12 14:46:18
280,Gat,31.61,34.7642,76.41,46,38,12.33,IL,2022-05-12 14:46:18
281,Angoche,-16.2325,39.9086,76.23,65,12,8.32,MZ,2022-05-12 14:46:19
282,Lekoni,-1.5843,14.2591,88.36,48,73,4.16,GA,2022-05-12 14:46:19
283,Bandarbeyla,9.4942,50.8122,83.3,80,88,15.05,SO,2022-05-12 14:46:20
284,Mongoumba,3.6415,18.5936,87.04,53,54,0.89,CF,2022-05-12 14:46:20
285,Panaba,21.2833,-88.2667,84.79,40,0,8.84,MX,2022-05-12 14:46:21
286,Yarmouth,41.7057,-70.2286,60.96,92,100,11.5,US,2022-05-12 14:46:21
287,Atar,20.5169,-13.0499,107.62,11,0,12.64,MR,2022-05-12 14:46:22
288,Aksay,47.26,39.87,66.42,50,75,14.27,RU,2022-05-12 14:46:23
289,Cobija,-11.0267,-68.7692,73.58,88,100,3.44,BO,2022-05-12 14:46:23
